 ,Label,Angle,Length,Measurement_type
1,HCl_1h15min_15o_merged.png:0464-0881,31.293,59.682,Fiber_length
2,HCl_1h15min_15o_merged.png:0495-0819,29.358,55.073,Fiber_length
3,HCl_1h15min_15o_merged.png:0464-0300,20.807,53.488,Fiber_length
4,HCl_1h15min_15o_merged.png:0448-0336,17.526,19.925,Fiber_length
5,HCl_1h15min_15o_merged.png:0396-0436,28.768,58.181,Fiber_length
6,HCl_1h15min_15o_merged.png:0421-0393,25.560,25.495,Fiber_length
7,HCl_1h15min_15o_merged.png:0159-1169,23.199,45.695,Fiber_length
8,HCl_1h15min_15o_merged.png:0141-1213,20.323,28.792,Fiber_length
