 ,Label,Angle,Length,Measurement_type
1,siSCR_HaloEmpty-26_merged.png:0744-0092,-0.576,99.505,Interorigin_distance
2,siSCR_HaloEmpty-26_merged.png:0758-0283,-12.804,90.244,Interorigin_distance
3,siSCR_HaloEmpty-26_merged.png:0798-0298,-23.136,119.620,Interorigin_distance
4,siSCR_HaloEmpty-26_merged.png:0839-0402,-19.960,106.923,Interorigin_distance
