 ,Label,Angle,Length,Measurement_type
1,siSCR_HaloEmpty-26_merged.png:0438-0485,-20.674,28.324,Fiber_length
2,siSCR_HaloEmpty-26_merged.png:0429-0455,-18.886,20.081,Fiber_length
3,siSCR_HaloEmpty-26_merged.png:0819-0863,-14.778,56.192,Fiber_length
4,siSCR_HaloEmpty-26_merged.png:0806-0818,-22.770,29.282,Fiber_length
5,siSCR_HaloEmpty-26_merged.png:0244-0535,-26.188,33.989,Fiber_length
6,siSCR_HaloEmpty-26_merged.png:0228-0488,-18.435,44.272,Fiber_length
