 ,Label,Angle,Length,Measurement_type
1,HCl_1h15min_15o_2_-02_merged.png:0524-0356,48.205,132.790,Interorigin_distance
2,HCl_1h15min_15o_2_-02_merged.png:0540-0471,5.690,136.171,Interorigin_distance
3,HCl_1h15min_15o_2_-02_merged.png:0356-0632,45.662,122.338,Interorigin_distance
