 ,Label,Angle,Length,Measurement_type
1,HCl_1h15min_15o_2__merged.png:0507-0457,62.949,105.546,Interorigin_distance
2,HCl_1h15min_15o_2__merged.png:0316-0978,63.099,76.251,Interorigin_distance
