 ,Label,Angle,Length,Measurement_type
1,HCl_1h15min_15o_2__merged.png:0845-0283,39.094,41.231,Fiber_length
2,HCl_1h15min_15o_2__merged.png:0814-0314,52.253,39.205,Fiber_length
3,HCl_1h15min_15o_2__merged.png:0378-0765,53.130,45.000,Fiber_length
4,HCl_1h15min_15o_2__merged.png:0414-0739,57.653,35.511,Fiber_length
5,HCl_1h15min_15o_2__merged.png:0521-0655,54.638,38.013,Fiber_length
6,HCl_1h15min_15o_2__merged.png:0494-0676,55.784,30.232,Fiber_length
